created_at|text|text_truncated|source|retweet_count|favorite_count|link
Thu Dec 15 14:24:29 +0000 2016|If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|39864|121896|https://twitter.com/realdonaldtrump/status/809403760099422208
Thu Dec 15 13:28:54 +0000 2016|The media tries so hard to make my move to the White House, as it pertains to my business, so complex - when actually it isn't!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|13537|59719|https://twitter.com/realdonaldtrump/status/809389774066814976
Thu Dec 15 13:09:14 +0000 2016|"Thank you to Time Magazine and Financial Times for naming me ""Person of the Year"" - a great honor!"|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|10508|56017|https://twitter.com/realdonaldtrump/status/809384826193276928
Thu Dec 15 13:05:55 +0000 2016|Has anyone looked at the really poor numbers of @VanityFair Magazine. Way down, big trouble, dead! Graydon Carter, no talent, will be out!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|8732|36538|https://twitter.com/realdonaldtrump/status/809383989018497024
Wed Dec 14 18:07:55 +0000 2016|.@BillGates and @JimBrownNFL32 in my Trump Tower office yesterday- two great guys! https://t.co/4PjSOEU5y9|False|"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"|13856|56934|https://twitter.com/realdonaldtrump/status/809097603010981888
Wed Dec 14 18:07:55 +0000 2016|.@BillGates and @JimBrownNFL32 in my Trump Tower office yesterday- two great guys! https://t.co/4PjSOEU5y9|False|"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"|13856|56934|https://twitter.com/realdonaldtrump/status/809097603010981888
Wed Dec 14 03:48:55 +0000 2016|Thank you Wisconsin! My Administration will be focused on three very important words: jobs, jobs, jobs! Watch:… https://t.co/iEGWZLuiFE|True|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|9558|41976|https://twitter.com/realdonaldtrump/status/808881429715316737
Wed Dec 14 00:52:40 +0000 2016|"RT @DanScavino: Join #PEOTUS Trump &amp; #VPEOTUS Pence live in West Allis, Wisconsin! 
#ThankYouTour2016 #MAGA
https://t.co/vU5EPIYKUc https:/…"|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|3582|0|https://twitter.com/realdonaldtrump/status/808837073423794176
Tue Dec 13 21:33:53 +0000 2016|"Join me this Saturday at Ladd–Peebles Stadium in Mobile, Alabama! 
#ThankYouTour2016 

Tickets:… https://t.co/1RFmKCMgyw"|True|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|6172|22980|https://twitter.com/realdonaldtrump/status/808787048144453632
Tue Dec 13 12:44:06 +0000 2016|The thing I like best about Rex Tillerson is that he has vast experience at dealing successfully with all types of foreign governments.|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|14382|57958|https://twitter.com/realdonaldtrump/status/808653723639697408
Tue Dec 13 11:57:35 +0000 2016|Wisconsin and Pennsylvania have just certified my wins in those states. I actually picked up additional votes!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|17912|76452|https://twitter.com/realdonaldtrump/status/808642018612310016
Tue Dec 13 11:43:38 +0000 2016|I have chosen one of the truly great business leaders of the world, Rex Tillerson, Chairman and CEO of ExxonMobil, to be Secretary of State.|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|22675|75713|https://twitter.com/realdonaldtrump/status/808638507161882624
Tue Dec 13 04:41:33 +0000 2016|I will hold a press conference in the near future to discuss the business, Cabinet picks and all other topics of interest. Busy times!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|10293|45978|https://twitter.com/realdonaldtrump/status/808532286664822784
Tue Dec 13 04:32:01 +0000 2016|Presidency. Two of my children, Don and Eric, plus executives, will manage them. No new deals will be done during my term(s) in office.|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|9537|42232|https://twitter.com/realdonaldtrump/status/808529888630239232
Tue Dec 13 04:26:13 +0000 2016|Even though I am not mandated by law to do so, I will be leaving my busineses before January 20th so that I can focus full time on the......|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|11891|55032|https://twitter.com/realdonaldtrump/status/808528428123254785
Tue Dec 13 00:33:05 +0000 2016|I will be making my announcement on the next Secretary of State tomorrow morning.|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|16315|62134|https://twitter.com/realdonaldtrump/status/808469755749339136
Mon Dec 12 23:40:48 +0000 2016|The final Wisconsin vote is in and guess what - we just picked up an additional 131 votes. The Dems and Green Party can now rest. Scam!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|28919|103146|https://twitter.com/realdonaldtrump/status/808456602076545025
Mon Dec 12 22:25:52 +0000 2016|"#ThankYouTour2016 

Tue: West Allis, WI. 

Thur: Hershey, PA. 

Fri: Orlando, FL. 

Sat: Mobile, AL. 

Tickets:… https://t.co/OJ8S7iVzFx"|True|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|7693|26580|https://twitter.com/realdonaldtrump/status/808437742904418304
Mon Dec 12 13:26:13 +0000 2016|The F-35 program and cost is out of control. Billions of dollars can and will be saved on military (and other) purchases after January 20th.|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|16039|59142|https://twitter.com/realdonaldtrump/status/808301935728230404
Mon Dec 12 13:21:20 +0000 2016|"Unless you catch ""hackers"" in the act, it is very hard to determine who was doing the hacking. Why wasn't this brought up before election?"|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|15510|58898|https://twitter.com/realdonaldtrump/status/808300706914594816
Mon Dec 12 13:17:54 +0000 2016|Can you imagine if the election results were the opposite and WE tried to play the Russia/CIA card. It would be called conspiracy theory!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|33558|106252|https://twitter.com/realdonaldtrump/status/808299841147248640
Mon Dec 12 01:02:14 +0000 2016|Just watched @NBCNightlyNews - So biased, inaccurate and bad, point after point. Just can't get much worse, although @CNN is right up there!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|19543|70622|https://twitter.com/realdonaldtrump/status/808114703922843649
Mon Dec 12 00:32:28 +0000 2016|Will be interviewed on @FoxNews at 10:00 P.M. Enjoy!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|5305|27349|https://twitter.com/realdonaldtrump/status/808107215492091904
Sun Dec 11 15:29:10 +0000 2016|"Whether I choose him or not for ""State""- Rex Tillerson, the Chairman &amp; CEO of ExxonMobil, is a world class player and dealmaker. Stay tuned!"|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|12098|51547|https://twitter.com/realdonaldtrump/status/807970490635743237
Sun Dec 11 13:51:47 +0000 2016|I spent Friday campaigning with John Kennedy, of the Great State of Louisiana, for the U.S.Senate. The election is over - JOHN WON!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|9715|50253|https://twitter.com/realdonaldtrump/status/807945982633709570
Sun Dec 11 13:12:06 +0000 2016|Being at the Army - Navy Game was fantastic. There is nothing like the spirit in that stadium. A wonderful experience, and congrats to Army!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|12865|78019|https://twitter.com/realdonaldtrump/status/807935995316408322
Sun Dec 11 12:56:18 +0000 2016|I will be interviewed today on Fox News Sunday with Chris Wallace at 10:00 (Eastern) Network. ENJOY!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|5537|29646|https://twitter.com/realdonaldtrump/status/807932020236124160
Sat Dec 10 19:09:28 +0000 2016|"RT @FoxNewsSunday: Sunday-- our exclusive interview with President-elect @realDonaldTrump 
Watch on @FoxNews at 2p/10p ET 
Check your local…"|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|5792|0|https://twitter.com/realdonaldtrump/status/807663539116802048
Sat Dec 10 19:09:13 +0000 2016|October 2015 - thanks Chris Wallace @FoxNewsSunday! https://t.co/VEsgPcWq7z|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|7121|27245|https://twitter.com/realdonaldtrump/status/807663477322027008
Sat Dec 10 18:41:12 +0000 2016|RT @TrumpInaugural: Counting down the days until the swearing in of @realDonaldTrump &amp; @mike_pence. Check in here for the latest updates. #…|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|6513|0|https://twitter.com/realdonaldtrump/status/807656426374103041
Sat Dec 10 14:14:23 +0000 2016|"A very interesting read. Unfortunately, so much is true.
https://t.co/ER2BoM765M"|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|12113|30840|https://twitter.com/realdonaldtrump/status/807589280071684096
Sat Dec 10 14:11:49 +0000 2016|Reports by @CNN that I will be working on The Apprentice during my Presidency, even part time, are ridiculous &amp; untrue - FAKE NEWS!|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|24671|73587|https://twitter.com/realdonaldtrump/status/807588632877998081
Sat Dec 10 12:38:24 +0000 2016|As a show of support for our Armed Forces, I will be going to The Army-Navy Game today. Looking forward to it, should be fun!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|18280|104844|https://twitter.com/realdonaldtrump/status/807565127021109252
Sat Dec 10 11:27:22 +0000 2016|I have NOTHING to do with The Apprentice except for fact that I conceived it with Mark B &amp; have a big stake in it. Will devote ZERO TIME!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|11050|48785|https://twitter.com/realdonaldtrump/status/807547249681166336
Sat Dec 10 11:19:24 +0000 2016|".@RudyGiuliani, one of the finest people I know and a former GREAT Mayor of N.Y.C., just took himself out of consideration for ""State""."|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|7041|29574|https://twitter.com/realdonaldtrump/status/807545243608420352
Sat Dec 10 03:30:50 +0000 2016|"Thank you Michigan. We are going to bring back your jobs &amp; together, we will MAKE AMERICA GREAT AGAIN!
Watch:… https://t.co/EyLOo26FqW"|True|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|8983|37604|https://twitter.com/realdonaldtrump/status/807427326522884096
Fri Dec 09 22:13:21 +0000 2016|Thank you Louisiana! Get out &amp; vote for John Kennedy tomorrow. Electing Kennedy will help enact our agenda on behal… https://t.co/sHXeyreEZI|True|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|8922|35846|https://twitter.com/realdonaldtrump/status/807347429062443009
Fri Dec 09 19:42:30 +0000 2016|Join me live in Louisiana! Tomorrow, we need you to go to the polls &amp; send John Kennedy to the U.S. Senate. https://t.co/O0jtz0BKeL|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|5266|22630|https://twitter.com/realdonaldtrump/status/807309464705630208
Fri Dec 09 03:02:04 +0000 2016|"THANK YOU IOWA!
#ThankYouTour2016 https://t.co/v6EB2OQMeO"|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|9246|40007|https://twitter.com/realdonaldtrump/status/807057700857188355
Thu Dec 08 23:12:11 +0000 2016|"Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: https://t.co/2UTwAg5V87"|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|5818|20197|https://twitter.com/realdonaldtrump/status/806999846674698240
